state,district,party,candidate,votes
IN,8th District,DEM,Ron Drake,93130
IN,8th District,Other,Andrew Horning,13630
IN,9th District,REP,Trey Hollingsworth,174698
IN,9th District,DEM,Shelli Yoder,130539
IN,9th District,Other,Russell Brooksbank,17417
IA,1st District,REP,Rod Blum,206273
IA,1st District,DEM,Monica Vernon,176447
IA,2nd District,DEM,Dave Loebsack,197802
IA,2nd District,REP,Christopher Peters,170529
IA,3rd District,REP,David Young,208264
IA,3rd District,DEM,Jim Mowrer,154780
IA,3rd District,Other,Bryan Holder,15337
IA,3rd District,Other,Claudia Addy,6335
IA,3rd District,Other,Joe Grandanette,4511
IA,4th District,REP,Steve King,225842
IA,4th District,DEM,Kim Weaver,142018
KS,1st District,REP,Roger Marshall,166051
KS,1st District,Other,Alan LaPolice,66218
KS,1st District,Other,Kerry Burt,18415
KS,2nd District,REP,Lynn Jenkins,177851
KS,2nd District,DEM,Britani Potter,94561
KS,2nd District,Other,James Bales,18700
KS,3rd District,REP,Kevin Yoder,171647
KS,3rd District,DEM,Jay Sidie,135778
KS,3rd District,Other,Steven Hohe,26897
KS,4th District,REP,Mike Pompeo,163406
KS,4th District,DEM,Daniel Giroux,78822
KS,4th District,Other,Miranda Allen,18358
KS,4th District,Other,Gordon Bakken,7420
KY,1st District,REP,James Comer,216957
KY,1st District,DEM,Samuel Gaskins,80813
KY,2nd District,REP,Brett Guthrie,0
KY,3rd District,DEM,John Yarmuth,212388
KY,3rd District,REP,Harold Bratcher,122085
KY,3rd District,Other,Everett Corley,0
KY,4th District,REP,Thomas Massie,233922
KY,4th District,DEM,Calvin Sidle,94064
KY,5th District,REP,Harold Rogers,0
KY,6th District,REP,Garland Barr,202094
KY,6th District,DEM,Nancy Jo Kemper,128725
LA,1st District,REP,Steve Scalise,243575
LA,1st District,DEM,Lee Dugas,41816
LA,1st District,DEM,Danil Faust,12698
LA,1st District,Other,Howard Kearney,9395
LA,1st District,DEM,Joe Swider,9231
LA,1st District,Other,Eliot Barron,6712
LA,1st District,Other,Chuemai Yang,3233
LA,2nd District,DEM,Cedric Richmond,198169
LA,2nd District,DEM,Kip Holden,57083
LA,2nd District,DEM,Kenneth Cutno,28826
LA,3rd District,REP,Scott Angelle,91374
LA,3rd District,REP,Clay Higgins,84809
LA,3rd District,DEM,Jacob Hebert,28358
LA,3rd District,DEM,Larry Rader,27807
LA,3rd District,REP,Gus Rantz,25640
LA,3rd District,REP,Greg Ellison,24845
LA,3rd District,REP,Brett Geymann,21606
LA,3rd District,REP,Bryan Barrilleaux,6215
LA,3rd District,Other,Guy McLendon,2934
LA,3rd District,Other,Kenny Scelfo,2667
LA,3rd District,REP,Grover Rees,2455
LA,3rd District,REP,Herman Vidrine,1354
LA,4th District,DEM,Marshall Jones,80558
LA,4th District,REP,Mike Johnson,70556
LA,4th District,REP,Trey Baucum,50395
LA,4th District,REP,Oliver Jenkins,44500
LA,4th District,REP,Elbert Guillory,21011
LA,4th District,REP,Rick John,13215
LA,4th District,Other,Mark Halverson,3145
LA,4th District,Other,Kenneth Krefft,2492
LA,5th District,REP,Ralph Abraham,208504
LA,5th District,REP,Billy Burkette,47106
LA,6th District,REP,Garret Graves,207453
LA,6th District,DEM,Richard Lieberman,49352
LA,6th District,REP,Bob Bell,33585
LA,6th District,DEM,Jermaine Sampson,29809
LA,6th District,Other,Richard Fontanesi,7598
LA,6th District,Other,Devin Graham,3215
ME,1st District,DEM,Chellie Pingree,225428
ME,1st District,REP,Mark Holbrook,164048
ME,2nd District,REP,Bruce Poliquin,192285
ME,2nd District,DEM,Emily Cain,157862
MD,1st District,REP,Andy Harris,229135
MD,1st District,DEM,Joe Werner,94776
MD,1st District,Other,Matt Beers,14207
MD,2nd District,DEM,C.A. Ruppersberger,172324
MD,2nd District,REP,Pat McDonough,92099
MD,2nd District,Other,Kristin Kasprzak,12530
MD,3rd District,DEM,John Sarbanes,194362
MD,3rd District,REP,Mark Plaster,106627
MD,3rd District,Other,Nnabu Eze,8430
MD,4th District,DEM,Anthony Brown,218215
MD,4th District,REP,George McDermott,63674
MD,4th District,Other,Kamesha Clark,7357
MD,4th District,Other,Benjamin Krause,5274
MD,5th District,DEM,Steny Hoyer,223582
MD,5th District,REP,Mark Arness,98768
MD,5th District,Other,Jason Summers,10033
MD,6th District,DEM,John Delaney,167229
MD,6th District,REP,Amie Hoeber,123611
MD,6th District,Other,David Howser,6216
MD,6th District,Other,George Gluck,4997
MD,7th District,DEM,Elijah Cummings,211962
MD,7th District,REP,Corrogan Vaughn,61854
MD,7th District,Other,Myles Hoenig,8428
MD,8th District,DEM,Jamie Raskin,191671
MD,8th District,REP,Dan Cox,115200
MD,8th District,Other,Nancy Wallace,9761
MD,8th District,Other,Jasen Wunder,6540
MA,1st District,DEM,Richard Neal,233310
MA,1st District,Other,Frederick Mayock,57226
MA,1st District,Other,Thomas Simmons,27427
MA,2nd District,DEM,James McGovern,0
MA,3rd District,DEM,Nicola Tsongas,234361
MA,3rd District,REP,Ann Wofford,106882
MA,4th District,DEM,Joe Kennedy,261356
MA,4th District,REP,David Rosa,111890
MA,5th District,DEM,Katherine Clark,0
MA,6th District,DEM,Seth Moulton,0
MA,7th District,DEM,Michael Capuano,0
MA,8th District,DEM,Stephen Lynch,267944
MA,8th District,REP,William Burke,102146
MA,9th District,DEM,William Keating,209911
MA,9th District,REP,Mark Alliegro,127199
MA,9th District,Other,Paul Harrington,26086
MA,9th District,Other,Christopher Cataldo,8266
MA,9th District,Other,Anna Grace Raduc,5261
MI,1st District,REP,Jack Bergman,201153
MI,1st District,DEM,Lon Johnson,144319
MI,1st District,Other,Diane Bostow,13385
MI,1st District,Other,Ellis Boal,4773
MI,2nd District,REP,Bill Huizenga,213095
MI,2nd District,DEM,Dennis Murphy,110077
MI,2nd District,Other,Erwin Haas,8166
MI,2nd District,Other,Matthew Brady,5362
MI,2nd District,Other,Ronald Graeser,2898
MI,3rd District,REP,Justin Amash,203069
MI,3rd District,DEM,Douglas Smith,128159
MI,3rd District,Other,Ted Gerrard,10374
MI,4th District,REP,John Moolenaar,194569
MI,4th District,DEM,Debra Freidell Wirth,101275
MI,4th District,Other,Leonard Schwartz,8514
MI,4th District,Other,George Zimmer,5595
MI,4th District,Other,Jordan Salvi,3953
MI,4th District,Other,Keith Butkovich,1838
MI,5th District,DEM,Daniel Kildee,195076
MI,5th District,REP,Allen Hardwick,111908
MI,5th District,Other,Steve Sluka,6999
MI,5th District,Other,Harley Mikkelson,4894
MI,6th District,REP,Fred Upton,192862
MI,6th District,DEM,Paul Clements,119871
MI,6th District,Other,Lorence Wenke,16239
MI,7th District,REP,Tim Walberg,183549
MI,7th District,DEM,Gretchen Driskell,133697
MI,7th District,Other,Ken Proctor,16402
MI,8th District,REP,Mike Bishop,205617
MI,8th District,DEM,Suzanna Shkreli,143775
MI,8th District,Other,Jeff Wood,9615
MI,8th District,Other,Maria Green,5677
MI,8th District,Other,Jeremy Burgess,2250
MI,9th District,DEM,Sander Levin,199620
MI,9th District,REP,Christopher Morse,128907
MI,9th District,Other,Matthew Orlando,9562
MI,9th District,Other,John McDermott,6612
